40001,10002,1,0,2023/02/02,2023/02/04,299.98
40002,10003,2,1,2023/02/05,2023/02/10,999.95
40003,10004,2,0,2023/02/22,2023/02/24,349.98
40004,10005,2,2,2023/03/06,2023/03/07,199.99
40005,10001,1,1,2023/03/17,2023/03/20,524.97
40006,10006,3,0,2023/03/18,2023/03/23,924.95
40007,10007,2,2,2023/03/29,2023/03/31,349.98
40008,10008,2,0,2023/03/31,2023/04/05,874.95
40009,10009,1,0,2023/04/09,2023/04/13,799.96
40010,10010,1,1,2023/04/23,2023/04/24,174.99
40011,10011,2,4,2023/05/30,2023/06/02,1199.97
40012,10012,2,0,2023/06/10,2023/06/14,599.96
40013,10012,1,0,2023/06/10,2023/06/14,599.96
40014,10006,3,0,2023/06/17,2023/06/18,184.99
40015,10001,2,0,2023/06/28,2023/07/02,699.96
40016,10009,3,1,2023/07/13,2023/07/14,184.99
40017,10010,4,2,2023/07/18,2023/07/21,1259.97
40018,10003,2,1,2023/07/28,2023/07/29,199.99
40019,10003,1,0,2023/08/30,2023/09/01,349.98
40020,10002,2,0,2023/09/16,2023/09/17,149.99
40021,10005,2,2,2023/09/13,2023/09/15,399.98
40022,10004,2,2,2023/11/22,2023/11/25,1199.97
40023,10002,2,0,2023/11/22,2023/11/25,449.97
40024,10002,2,2,2023/11/22,2023/11/25,599.97
40025,10011,2,0,2023/12/24,2023/12/28,699.96